capture_id,site,col,row,u,v,status,distance_m,pred_disp,in_metric_range
site-a-try-03,site-a,0,0,3.6875,3.6875,pole_excluded,,,0
site-a-try-03,site-a,1,0,12.0625,3.6875,pole_excluded,,,0
site-a-try-03,site-a,2,0,20.4375,3.6875,pole_excluded,,,0
site-a-try-03,site-a,3,0,28.8125,3.6875,pole_excluded,,,0
site-a-try-03,site-a,4,0,37.1875,3.6875,pole_excluded,,,0
site-a-try-03,site-a,5,0,45.5625,3.6875,pole_excluded,,,0
site-a-try-03,site-a,6,0,53.9375,3.6875,pole_excluded,,,0
site-a-try-03,site-a,7,0,62.3125,3.6875,pole_excluded,,,0
site-a-try-03,site-a,8,0,70.6875,3.6875,pole_excluded,,,0
site-a-try-03,site-a,9,0,79.0625,3.6875,pole_excluded,,,0
site-a-try-03,site-a,10,0,87.4375,3.6875,pole_excluded,,,0
site-a-try-03,site-a,11,0,95.8125,3.6875,pole_excluded,,,0
site-a-try-03,site-a,12,0,104.1875,3.6875,pole_excluded,,,0
site-a-try-03,site-a,13,0,112.5625,3.6875,pole_excluded,,,0
site-a-try-03,site-a,14,0,120.9375,3.6875,pole_excluded,,,0
site-a-try-03,site-a,15,0,129.3125,3.6875,pole_excluded,,,0
site-a-try-03,site-a,0,1,3.6875,12.0625,no_hit,,,0
site-a-try-03,site-a,1,1,12.0625,12.0625,no_hit,,,0
site-a-try-03,site-a,2,1,20.4375,12.0625,no_hit,,,0
site-a-try-03,site-a,3,1,28.8125,12.0625,hit,54.099919234,56.603802681,0
site-a-try-03,site-a,4,1,37.1875,12.0625,hit,49.0453471892,58.1222216487,0
site-a-try-03,site-a,5,1,45.5625,12.0625,hit,29.4702671263,58.8218193054,0
site-a-try-03,site-a,6,1,53.9375,12.0625,hit,27.5566629638,57.0657928586,0
site-a-try-03,site-a,7,1,62.3125,12.0625,hit,11.2447479395,118.613708258,1
site-a-try-03,site-a,8,1,70.6875,12.0625,hit,18.064246319,117.795961261,1
site-a-try-03,site-a,9,1,79.0625,12.0625,hit,11.0505894319,114.662523389,1
site-a-try-03,site-a,10,1,87.4375,12.0625,hit,15.5108351358,104.809562564,1
site-a-try-03,site-a,11,1,95.8125,12.0625,hit,22.6346432723,69.567840457,0
site-a-try-03,site-a,12,1,104.1875,12.0625,hit,16.598889686,78.6556897163,1
site-a-try-03,site-a,13,1,112.5625,12.0625,hit,23.5270986231,76.4154522419,0
site-a-try-03,site-a,14,1,120.9375,12.0625,hit,23.9379951956,73.279030323,0
site-a-try-03,site-a,15,1,129.3125,12.0625,no_hit,,,0
site-a-try-03,site-a,0,2,3.6875,20.4375,no_hit,,,0
site-a-try-03,site-a,1,2,12.0625,20.4375,no_hit,,,0
site-a-try-03,site-a,2,2,20.4375,20.4375,no_hit,,,0
site-a-try-03,site-a,3,2,28.8125,20.4375,hit,36.436518368,72.7856775522,0
site-a-try-03,site-a,4,2,37.1875,20.4375,hit,32.4106050754,72.2947969437,0
site-a-try-03,site-a,5,2,45.5625,20.4375,hit,19.6512217257,73.2683491707,1
site-a-try-03,site-a,6,2,53.9375,20.4375,hit,18.4439282367,69.6100801229,1
site-a-try-03,site-a,7,2,62.3125,20.4375,hit,7.49320850138,147.65722084,1
site-a-try-03,site-a,8,2,70.6875,20.4375,hit,12.0134630448,149.306709051,1
site-a-try-03,site-a,9,2,79.0625,20.4375,hit,7.38337732427,146.527718067,1
site-a-try-03,site-a,10,2,87.4375,20.4375,hit,10.3446892257,133.081759453,1
site-a-try-03,site-a,11,2,95.8125,20.4375,hit,15.1803188735,87.5545445681,1
site-a-try-03,site-a,12,2,104.1875,20.4375,hit,11.0755269688,101.711325407,1
site-a-try-03,site-a,13,2,112.5625,20.4375,hit,15.7643299465,97.4119464159,1
site-a-try-03,site-a,14,2,120.9375,20.4375,hit,16.0454727102,91.4048130512,1
site-a-try-03,site-a,15,2,129.3125,20.4375,no_hit,,,0
site-a-try-03,site-a,0,3,3.6875,28.8125,no_hit,,,0
site-a-try-03,site-a,1,3,12.0625,28.8125,no_hit,,,0
site-a-try-03,site-a,2,3,20.4375,28.8125,no_hit,,,0
site-a-try-03,site-a,3,3,28.8125,28.8125,hit,30.8898320372,80.9497448206,0
site-a-try-03,site-a,4,3,37.1875,28.8125,hit,27.4697186122,80.0314588547,0
site-a-try-03,site-a,5,3,45.5625,28.8125,hit,16.7034506466,81.2301065922,1
site-a-try-03,site-a,6,3,53.9375,28.8125,hit,15.6383326333,77.697568655,1
site-a-try-03,site-a,7,3,62.3125,28.8125,hit,6.37056387935,157.121170521,1
site-a-try-03,site-a,8,3,70.6875,28.8125,hit,10.1846026566,159.693860292,1
site-a-try-03,site-a,9,3,79.0625,28.8125,hit,6.2592321414,156.602731228,1
site-a-try-03,site-a,10,3,87.4375,28.8125,hit,8.78895557504,141.014350176,1
site-a-try-03,site-a,11,3,95.8125,28.8125,hit,12.8536386606,100.099393129,1
site-a-try-03,site-a,12,3,104.1875,28.8125,hit,9.34318290239,112.341935039,1
site-a-try-03,site-a,13,3,112.5625,28.8125,hit,13.3740199943,107.506581306,1
site-a-try-03,site-a,14,3,120.9375,28.8125,hit,13.6023219563,100.813092709,1
site-a-try-03,site-a,15,3,129.3125,28.8125,no_hit,,,0
site-a-try-03,site-a,0,4,3.6875,37.1875,hit,20.9984464774,43.3837065697,0
site-a-try-03,site-a,1,4,12.0625,37.1875,hit,22.2388600048,38.9814744592,0
site-a-try-03,site-a,2,4,20.4375,37.1875,hit,28.5694161618,29.6648718119,0
site-a-try-03,site-a,3,4,28.8125,37.1875,hit,30.8152626911,72.572296381,0
site-a-try-03,site-a,4,4,37.1875,37.1875,hit,27.6687368907,81.6943359375,0
site-a-try-03,site-a,5,4,45.5625,37.1875,hit,16.9306576025,84.0588616133,1
site-a-try-03,site-a,6,4,53.9375,37.1875,hit,15.6529157277,80.2244182825,1
site-a-try-03,site-a,7,4,62.3125,37.1875,hit,6.38605147815,155.683891296,1
site-a-try-03,site-a,8,4,70.6875,37.1875,hit,10.2053597158,159.583617449,1
site-a-try-03,site-a,9,4,79.0625,37.1875,hit,6.25311693679,157.065893173,1
site-a-try-03,site-a,10,4,87.4375,37.1875,hit,8.81963328766,140.132252455,1
site-a-try-03,site-a,11,4,95.8125,37.1875,hit,12.8414188136,102.481690884,1
site-a-try-03,site-a,12,4,104.1875,37.1875,hit,9.29310601082,116.107666612,1
site-a-try-03,site-a,13,4,112.5625,37.1875,hit,13.3197859442,111.989703536,1
site-a-try-03,site-a,14,4,120.9375,37.1875,hit,13.6022150221,104.275489926,1
site-a-try-03,site-a,15,4,129.3125,37.1875,hit,22.7775628285,44.8471428156,0
site-a-try-03,site-a,0,5,3.6875,45.5625,hit,21.2671314018,67.5347537994,0
site-a-try-03,site-a,1,5,12.0625,45.5625,hit,15.5462234892,62.4241265655,1
site-a-try-03,site-a,2,5,20.4375,45.5625,hit,14.7685291159,57.0291808248,1
site-a-try-03,site-a,3,5,28.8125,45.5625,hit,17.9405595428,77.3096193075,1
site-a-try-03,site-a,4,5,37.1875,45.5625,hit,21.0271894629,78.6773484945,0
site-a-try-03,site-a,5,5,45.5625,45.5625,hit,17.7752261004,81.7148673534,1
site-a-try-03,site-a,6,5,53.9375,45.5625,hit,18.628726399,78.0463373661,1
site-a-try-03,site-a,7,5,62.3125,45.5625,hit,7.55454580479,144.639630556,1
site-a-try-03,site-a,8,5,70.6875,45.5625,hit,12.1011906257,149.535568476,1
site-a-try-03,site-a,9,5,79.0625,45.5625,hit,7.35182452371,147.330236673,1
site-a-try-03,site-a,10,5,87.4375,45.5625,hit,10.4317736619,130.117395401,1
site-a-try-03,site-a,11,5,95.8125,45.5625,hit,15.1732381848,102.380663514,1
site-a-try-03,site-a,12,5,104.1875,45.5625,hit,10.9383174438,112.598069191,1
site-a-try-03,site-a,13,5,112.5625,45.5625,hit,15.5224284035,108.989416122,1
site-a-try-03,site-a,14,5,120.9375,45.5625,hit,15.9850933326,99.054582119,1
site-a-try-03,site-a,15,5,129.3125,45.5625,hit,20.833161235,68.6820764542,0
site-a-try-03,site-a,0,6,3.6875,53.9375,hit,14.1441998678,95.064131856,1
site-a-try-03,site-a,1,6,12.0625,53.9375,hit,14.0630694786,93.3734935522,1
site-a-try-03,site-a,2,6,20.4375,53.9375,hit,14.1836354168,92.9801131487,1
site-a-try-03,site-a,3,6,28.8125,53.9375,hit,14.1869520753,91.51526618,1
site-a-try-03,site-a,4,6,37.1875,53.9375,hit,14.1112711594,92.5589735508,1
site-a-try-03,site-a,5,6,45.5625,53.9375,hit,14.0850767004,93.3715983629,1
site-a-try-03,site-a,6,6,53.9375,53.9375,hit,13.8825519703,97.9542907476,1
site-a-try-03,site-a,7,6,62.3125,53.9375,hit,11.2133201481,121.647277236,1
site-a-try-03,site-a,8,6,70.6875,53.9375,hit,13.568054224,126.920044661,1
site-a-try-03,site-a,9,6,79.0625,53.9375,hit,10.9981605893,124.36006093,1
site-a-try-03,site-a,10,6,87.4375,53.9375,hit,13.6660827547,112.309420705,1
site-a-try-03,site-a,11,6,95.8125,53.9375,hit,13.7254665231,111.002465248,1
site-a-try-03,site-a,12,6,104.1875,53.9375,hit,13.7384952117,111.208205223,1
site-a-try-03,site-a,13,6,112.5625,53.9375,hit,13.838697218,109.946904302,1
site-a-try-03,site-a,14,6,120.9375,53.9375,hit,14.0099786582,104.432285905,1
site-a-try-03,site-a,15,6,129.3125,53.9375,hit,14.1635154787,97.3262740374,1
site-a-try-03,site-a,0,7,3.6875,62.3125,hit,11.8994280269,111.384574533,1
site-a-try-03,site-a,1,7,12.0625,62.3125,hit,11.9040490707,110.08276844,1
site-a-try-03,site-a,2,7,20.4375,62.3125,hit,11.9083719013,110.983200669,1
site-a-try-03,site-a,3,7,28.8125,62.3125,hit,11.9118075427,112.177933455,1
site-a-try-03,site-a,4,7,37.1875,62.3125,hit,11.9137482959,113.4828825,1
site-a-try-03,site-a,5,7,45.5625,62.3125,hit,11.9138680364,114.737200737,1
site-a-try-03,site-a,6,7,53.9375,62.3125,hit,11.9121705463,115.520551205,1
site-a-try-03,site-a,7,7,62.3125,62.3125,hit,11.9089728714,116.338513374,1
site-a-try-03,site-a,8,7,70.6875,62.3125,hit,11.9047517082,116.976670146,1
site-a-try-03,site-a,9,7,79.0625,62.3125,hit,11.9001366877,116.636391759,1
site-a-try-03,site-a,10,7,87.4375,62.3125,hit,11.8957717085,117.586117864,1
site-a-try-03,site-a,11,7,95.8125,62.3125,hit,11.892437708,117.418451667,1
site-a-try-03,site-a,12,7,104.1875,62.3125,hit,11.8905376419,117.092486143,1
site-a-try-03,site-a,13,7,112.5625,62.3125,hit,11.8903711911,116.192242622,1
site-a-try-03,site-a,14,7,120.9375,62.3125,hit,11.8963259926,114.717982888,1
site-a-try-03,site-a,15,7,129.3125,62.3125,hit,11.8951880557,112.947019815,1
site-a-try-04,site-a,0,0,3.6875,3.6875,pole_excluded,,,0
site-a-try-04,site-a,1,0,12.0625,3.6875,pole_excluded,,,0
site-a-try-04,site-a,2,0,20.4375,3.6875,pole_excluded,,,0
site-a-try-04,site-a,3,0,28.8125,3.6875,pole_excluded,,,0
site-a-try-04,site-a,4,0,37.1875,3.6875,pole_excluded,,,0
site-a-try-04,site-a,5,0,45.5625,3.6875,pole_excluded,,,0
site-a-try-04,site-a,6,0,53.9375,3.6875,pole_excluded,,,0
site-a-try-04,site-a,7,0,62.3125,3.6875,pole_excluded,,,0
site-a-try-04,site-a,8,0,70.6875,3.6875,pole_excluded,,,0
site-a-try-04,site-a,9,0,79.0625,3.6875,pole_excluded,,,0
site-a-try-04,site-a,10,0,87.4375,3.6875,pole_excluded,,,0
site-a-try-04,site-a,11,0,95.8125,3.6875,pole_excluded,,,0
site-a-try-04,site-a,12,0,104.1875,3.6875,pole_excluded,,,0
site-a-try-04,site-a,13,0,112.5625,3.6875,pole_excluded,,,0
site-a-try-04,site-a,14,0,120.9375,3.6875,pole_excluded,,,0
site-a-try-04,site-a,15,0,129.3125,3.6875,pole_excluded,,,0
site-a-try-04,site-a,0,1,3.6875,12.0625,no_hit,,,0
site-a-try-04,site-a,1,1,12.0625,12.0625,no_hit,,,0
site-a-try-04,site-a,2,1,20.4375,12.0625,no_hit,,,0
