capture_id,site,n_candidates,n_hit,n_no_hit,n_pole_excluded,n_valid_depth_samples,n_range_anchors,valid_anchor_fraction,capture_fit_scale,held_out_site_scale,lolo_median_abs_rel,lolo_p90_abs_rel
site-a-try-03,site-a,128,100,12,16,100,80,0.78125,0.00073789063629,0.00126422079176,0.419218334588,0.501739830785
site-a-try-04,site-a,128,96,16,16,96,68,0.75,0.000798714980147,0.00126422079176,0.378162492724,0.463986504519
site-a-try-05,site-a,128,92,20,16,92,56,0.71875,0.000679254798454,0.00126422079176,0.40552767633,0.671049713025
site-b-try-01,site-b,128,100,12,16,100,80,0.78125,0.000950885605065,0.00114243885889,0.191675470983,1.82868403493
site-b-try-02,site-b,128,102,10,16,102,84,0.796875,0.00314656435562,0.00114243885889,1.72699668169,2.34324465088
site-b-try-03,site-b,128,102,10,16,102,70,0.796875,0.00136120151694,0.00114243885889,0.243798885863,0.434156673124
site-c-try-02,site-c,128,91,21,16,91,51,0.7109375,0.000779568100099,0.00124873820903,0.381905673738,0.404565770137
site-c-try-03,site-c,128,93,19,16,93,59,0.7265625,0.000799050921168,0.00124873820903,0.394182430654,0.472917512696
site-c-try-04,site-c,128,92,20,16,92,46,0.71875,0.000782538176858,0.00124873820903,0.390978191647,0.406454552368
site-d-try-02,site-d,128,91,21,16,91,67,0.7109375,0.00128684703126,0.00100795985629,0.262269046254,0.376194224764
site-d-try-04,site-d,128,90,22,16,90,88,0.703125,0.00141824290356,0.00100795985629,0.404966278236,1.4863546547
site-d-try-05,site-d,128,91,21,16,91,84,0.7109375,0.00133311486799,0.00100795985629,0.319981395705,0.902381258753
